locationID,continent,country,stateProvince,county,countryCode,isCustomRegion,verbatimCountry,verbatimLocationID,verbatimISO3,countryCode.1
GEO_17698898B34012534665236,Asia,Afghanistan,Baghlan,Puli Khumri,AF,No,Afghanistan,{17698898B34012534665236},AFG,AF
GEO_17698898B52947947135359,Asia,Afghanistan,Baghlan,Tala Wa Barfak,AF,No,Afghanistan,{17698898B52947947135359},AFG,AF
GEO_17698898B77931863880594,Asia,Afghanistan,Balkh,Balkh,AF,No,Afghanistan,{17698898B77931863880594},AFG,AF
GEO_17698898B81421616745366,Asia,Afghanistan,Balkh,Chahar Bolak,AF,No,Afghanistan,{17698898B81421616745366},AFG,AF
GEO_17698898B85275633227328,Asia,Afghanistan,Balkh,Chahar Kint,AF,No,Afghanistan,{17698898B85275633227328},AFG,AF
GEO_17698898B2431624392014,Asia,Afghanistan,Balkh,Chimtal,AF,No,Afghanistan,{17698898B2431624392014},AFG,AF
GEO_17698898B77647475536898,Asia,Afghanistan,Balkh,Dawlatabad,AF,No,Afghanistan,{17698898B77647475536898},AFG,AF
GEO_17698898B12921472973415,Asia,Afghanistan,Balkh,Dihdadi,AF,No,Afghanistan,{17698898B12921472973415},AFG,AF
GEO_17698898B61408580089249,Asia,Afghanistan,Balkh,Feroz Nakhchir,AF,No,Afghanistan,{17698898B61408580089249},AFG,AF
GEO_17698898B94329436911274,Asia,Afghanistan,Balkh,Kaldar,AF,No,Afghanistan,{17698898B94329436911274},AFG,AF
GEO_17698898B55936753676845,Asia,Afghanistan,Balkh,Khulm,AF,No,Afghanistan,{17698898B55936753676845},AFG,AF
GEO_17698898B65056922872965,Asia,Afghanistan,Balkh,Kishindih,AF,No,Afghanistan,{17698898B65056922872965},AFG,AF
GEO_17698898B88855258477888,Asia,Afghanistan,Balkh,Marmul,AF,No,Afghanistan,{17698898B88855258477888},AFG,AF
GEO_17698898B70189679586713,Asia,Afghanistan,Balkh,Mazari Sharif,AF,No,Afghanistan,{17698898B70189679586713},AFG,AF
GEO_17698898B92770889491620,Asia,Afghanistan,Balkh,Nahri Shahi,AF,No,Afghanistan,{17698898B92770889491620},AFG,AF
GEO_17698898B55574996468051,Asia,Afghanistan,Balkh,Sholgara,AF,No,Afghanistan,{17698898B55574996468051},AFG,AF
GEO_17698898B96349450413345,Asia,Afghanistan,Balkh,Shortepa,AF,No,Afghanistan,{17698898B96349450413345},AFG,AF
