locationID,continent,country,stateProvince,county,countryCode,locality,remarks,isCustomRegion
MOBI_1SJ_NOR,Europe,Norway,,,NO,Svalbard,,Yes
MOBI_1SJ_NOR,Europe,Norway,,,NO,Svalbard,,Yes
MOBI_1SJ_NOR,Europe,Norway,,,NO,Svalbard,,Yes
MOBI_1SU_SUN,Europe,Union of Soviet Socialist Republics,,,SU,Union of Soviet Socialist Republics,Soviet Union is listed here as a custom region it currently does not exist,Yes
MOBI_1US-AZ_US,Americas,United States of America (the),Arizona,,US,Navajo Nation,Arizona territory,Yes
MOBI_1ZW-MA_ZW,Africa,Zimbabwe,Manicaland,,ZW,Eastern Highlands,"Georreferenced from Dalu, Tatenda, Mwazvita T. B. Sachikonye, Mhairi E. Alexander, et al. ‘Ecological Assessment of Two Species of Potamonautid Freshwater Crabs from the Eastern Highlands of Zimbabwe, with Implications for Their Conservation’. PLOS ONE 11, no. 1 (2016): e0145923. https://doi.org/10.1371/journal.pone.0145923. ",Yes
MOBI_1ZW-MA_ZW,Africa,Zimbabwe,,,ZW,Eastern Highlands,,Yes
MOBI_2AL_BG_BA_CY_DZ_EG_EH_ES_FR_GB_GR_HR_IQ_IL_IT_JO_LB_LY_MA_MC_MK_MT_ME_PT_SM_SI_SY_TN_TR_VA_XK,Africa | Asia | Europe,Albania | Bulgaria | Bosnia and Herzegovina | Cyprus | Algeria | Egypt | Western Sahara | Spain | France | United Kingdom | Greece | Croatia | Iraq | Israel | Italy | Jordan | Lebanon | Libya | Morocco | Monaco | North Macedonia | Malta | Montenegro | Portugal | San Marino | Slovenia | Syrian Arab Republic | Tunisia | Türkiye | Holy See | Kosovo,,,AL | BG | BA | CY | DZ | EG | EH | ES | FR | GB | GR | HR | IQ | IL | IT | JO | LB | LY | MA | MC | MK | MT | ME | PT | SM | SI | SY | TN | TR | VA | XK,Mediterranean basin,"Includes the European, Asian and African territory of all countries encoded in the locationID",Yes
MOBI_2AL_BG_BA_CY_DZ_EG_EH_ES_FR_GB_GR_HR_IQ_IL_IT_JO_LB_LY_MA_MC_MK_MT_ME_PT_SM_SI_SY_TN_TR_VA_XK,Africa | Asia | Europe,Albania | Bulgaria | Bosnia and Herzegovina | Cyprus | Algeria | Egypt | Western Sahara | Spain | France | United Kingdom | Greece | Croatia | Iraq | Israel | Italy | Jordan | Lebanon | Libya | Morocco | Monaco | North Macedonia | Malta | Montenegro | Portugal | San Marino | Slovenia | Syrian Arab Republic | Tunisia | Türkiye | Holy See | Kosovo,,,AL | BG | BA | CY | DZ | EG | EH | ES | FR | GB | GR | HR | IQ | IL | IT | JO | LB | LY | MA | MC | MK | MT | ME | PT | SM | SI | SY | TN | TR | VA | XK,Mediterranean basin,,Yes
MOBI_2CL-MA_CHL,Antarctica,Chile,Región de Magallanes y Antártica Chilena,,CL,,,Yes
MOBI_2CL-VS_CHL,Americas,Chile,Región de Valparaíso,Easter Island Province,CL,Salas y Gómez,Island in northern Chile,Yes
MOBI_2CL-VS_CHL,Oceania,Chile,,,CL,Salas y Gómez,,Yes
MOBI_2CL-VS_CHL,Americas,Chile,,,CL,Salas y Gómez,,Yes
MOBI_2CV_CPV,Africa,Cabo Verde,,,CV,Santa Luzia,Source URL: https://data.humdata.org/organization/ocha-fiss,Yes
MOBI_3AL_BA_CY_DZ_EG_ES_FR_GB_GR_HR_IL_IT_LB_LY_MA_MC_MT_ME_SI_SY_TN_TR,Africa | Asia | Europe,Albania | Bosnia and Herzegovina | Cyprus | Algeria | Egypt | Spain | France | United Kingdom | Greece | Croatia | Israel | Italy | Lebanon | Libya | Morocco | Monaco | Malta | Montenegro | Slovenia | Syria | Tunisia | Turkey,,,AL | BA | CY | DZ | EG | ES | FR | GB | GR | HR | IL | IT | LB | LY | MA | MC | MT | ME | SI | SY | TN | TR,Mediterranean sea,"Includes the European, Asian and African maritime territory of all countries encoded in the locationID",Yes
MOBI_3CL-VS _CHL,Americas,Chile,,,CL,Juan Fernández,,Yes
MOBI_3CV_CPV,Africa,Cabo Verde,,,CV,Raso,Source URL: https://data.humdata.org/organization/ocha-fiss,Yes
MOBI_4AL_BA_CY_DZ_EG_ES_FR_GB_GR_HR_IL_IT_LB_LY_MA_MC_MT_ME_SI_SY_TN_TR_BG_RO_UA_RU_GE,Africa | Asia | Europe,Albania | Bosnia and Herzegovina | Cyprus | Algeria | Egypt | Spain | France | United Kingdom | Greece | Croatia | Israel | Italy | Lebanon | Libya | Morocco | Monaco | Malta | Montenegro | Slovenia | Syria | Tunisia | Turkey | Bulgaria | Romania | Ukraine | Russian Federation (the) | Georgia,,,AL | BA | CY | DZ | EG | ES | FR | GB | GR | HR | IL | IT | LB | LY | MA | MC | MT | ME | SI | SY | TN | TR,Mediterranean and Black Sea,"Includes the European, Asian and African maritime territory of all countries encoded in the locationID",Yes
MOBI_4CV_CPV,Africa,Cabo Verde,,,CV,Sao Nicolau,Source URL: https://data.humdata.org/organization/ocha-fiss,Yes
MOBI_5CV_CPV,Africa,Cabo Verde,,,CV,Santiago,Source URL: https://data.humdata.org/organization/ocha-fiss,Yes
MOBI_6CV_CPV,Africa,Cabo Verde,,,CV,Fogo,Source URL: https://data.humdata.org/organization/ocha-fiss,Yes
MOBI_7CV_CPV,Africa,Cabo Verde,,,CV,Ilheus do Rombo,Source URL: https://data.humdata.org/organization/ocha-fiss,Yes
MOBI_8CV_CPV,Africa,Cabo Verde,,,CV,Branco,Source URL: https://data.humdata.org/organization/ocha-fiss,Yes
WDPA_12161,Europe,Slovakia,Region of Banská Bystrica,District of Bansks Bystrica|District of Brezno|District of Detva|District of Zvolen,SK,Poľana,,Yes
WDPA_12161,Europe,Slovakia,Region of Banská Bystrica,District of Bansks Bystrica|District of Brezno|District of Detva|District of Zvolen,SK,Poľana,,Yes
WDPA_12161,Europe,Slovakia,Region of Banská Bystrica,District of Bansks Bystrica|District of Brezno|District of Detva|District of Zvolen,SK,Poľana,,Yes
WDPA_12161,Europe,Slovakia,Region of Banská Bystrica,District of Bansks Bystrica|District of Brezno|District of Detva|District of Zvolen,SK,Poľana,,Yes
MOBI_1JP-13,Asia,Japan,Tokyo,,JP,Nishitama,,
MOBI_2JP-13,Asia,Japan,Tokyo,,JP,Minamitama,,
MOBI_3JP-13,Asia,Japan,Tokyo,,JP,Kitatama,,
